Name,Age,Potential,Body Type,Value,Wage
P. Mina,32,68,Stocky,525000.00,1000.00
A. Cesped,26,71,Normal,925000.00,2000.00
B. Boulahroud,25,73,Normal,1200000.00,4000.00
K. Kanak,27,68,Normal,750000.00,6000.00
J. Brinkies,25,72,Stocky,825000.00,1000.00
Fábio,28,69,Normal,725000.00,4000.00
Wang Shenchao,29,68,Lean,675000.00,7000.00
Park Yong Woo,24,73,Normal,1200000.00,3000.00
S. Makienok,27,68,Lean,950000.00,8000.00
Javi Hernández,29,68,Lean,875000.00,3000.00
De La Hoz,26,71,Normal,925000.00,4000.00
Felipe Curcio,24,71,Lean,950000.00,2000.00
Kim Young Uk,27,69,Normal,1000000.00,3000.00
V. Alvarado,25,72,Normal,975000.00,5000.00
Danilson da Cruz,32,68,Normal,525000.00,3000.00
Juanma,27,68,Normal,950000.00,3000.00
F. De Col,24,73,Normal,1000000.00,2000.00
L. Kelly,22,74,Lean,1200000.00,12000.00
V. Bora,23,77,Normal,1400000.00,6000.00
E. Juárez,30,68,Normal,825000.00,4000.00
G. Ndy Assembe,32,68,Normal,525000.00,3000.00
R. Mazáň,24,74,Normal,1000000.00,7000.00
A. Hammill,30,68,Lean,850000.00,4000.00
S. Schuppan,31,68,Normal,600000.00,3000.00
D. Pollet,29,68,Normal,900000.00,7000.00
J. Meffert,23,72,Lean,975000.00,4000.00
Y. Yeboah,21,78,Lean,1500000.00,4000.00
Josete,30,68,Normal,675000.00,4000.00
N. Ozokwo,29,68,Normal,875000.00,9000.00
C. Dielna,30,68,Stocky,675000.00,3000.00
M. Vidal,27,72,Normal,775000.00,8000.00
V. Sielis,28,68,Normal,725000.00,3000.00
O. Bosso,24,72,Lean,975000.00,2000.00
S. Gleeson,29,68,Normal,700000.00,4000.00
H. Muath,32,68,Lean,500000.00,13000.00
S. Ruprecht,31,68,Stocky,600000.00,1000.00
K. Escamilla,24,76,Lean,1100000.00,7000.00
J. Arboleda,28,68,Normal,700000.00,2000.00
E. Olivera,28,70,Lean,850000.00,5000.00
Carrillo,24,75,Lean,1300000.00,4000.00
A. Wiegel,26,68,Lean,750000.00,3000.00
Choe Yeong Joon,26,68,Lean,950000.00,3000.00
P. Weihrauch,24,73,Lean,1200000.00,6000.00
C. Spinelli,21,76,Normal,1300000.00,6000.00
K. Gjasula,28,68,Normal,725000.00,5000.00
E. Manu,24,71,Stocky,1100000.00,7000.00
B. Gómez,24,72,Lean,1200000.00,5000.00
C. Solly,27,69,Normal,825000.00,5000.00
K. Noborizato,27,68,Normal,950000.00,4000.00
R. Smallwood,27,68,Lean,750000.00,15000.00
A. Barrios,27,69,Normal,825000.00,2000.00
D. Jiménez,29,68,Lean,900000.00,4000.00
K. Freeman,26,69,Normal,850000.00,5000.00
Tan Long,30,68,Lean,850000.00,5000.00
J. Sills,31,68,Normal,600000.00,7000.00
M. Jakobsen,32,68,Normal,525000.00,2000.00
Jadson Castrelo,34,68,Normal,270000.00,10000.00
K. McFadzean,31,68,Stocky,600000.00,5000.00
M. Baudry,28,69,Lean,825000.00,6000.00
F. Ben Mustapha,29,68,Stocky,600000.00,10000.00
S. Blondelle,32,68,Normal,525000.00,5000.00
Nam Joon Jae,30,68,Lean,850000.00,3000.00
Lee Dong Gook,39,68,Normal,260000.00,4000.00
N. Pulzetti,34,68,Normal,425000.00,2000.00
M. Chrien,22,76,Lean,1300000.00,4000.00
T. Perthel,29,68,Normal,675000.00,7000.00
R. Ligeon,26,70,Lean,875000.00,4000.00
Fran Carbia,26,69,Normal,1100000.00,4000.00
M. Sayouba,25,73,Normal,850000.00,4000.00
T. Margasov,26,71,Lean,925000.00,1000.00
Adão Salvadaldo,34,68,Lean,475000.00,7000.00
T. Kida,23,74,Lean,1000000.00,2000.00
Zou Zheng,30,68,Normal,650000.00,7000.00
M. Hornschuh,27,70,Lean,875000.00,7000.00
A. Nabbout,25,72,Stocky,1200000.00,6000.00
J. Amano,26,69,Normal,1000000.00,3000.00
L. DeVere,28,68,Stocky,725000.00,3000.00
N. Giani,32,68,Normal,525000.00,2000.00
M. Fenger,27,70,Normal,875000.00,3000.00
J. Castelletto,23,76,Lean,1100000.00,3000.00
Y. Hinestroza,33,68,Stocky,350000.00,2000.00
Iván Villar,20,75,Lean,950000.00,4000.00
M. Curado,23,74,Normal,1000000.00,5000.00
N. Mazzola,28,68,Lean,925000.00,7000.00
Kevin,25,73,Normal,975000.00,8000.00
M. Jonckheere,28,68,Lean,900000.00,7000.00
C. Alhadhur,26,69,Lean,850000.00,8000.00
S. Gustafson,23,74,Lean,1200000.00,13000.00
F. Grillo,25,72,Normal,975000.00,8000.00
C. Borthwick-Jackson,21,74,Lean,1000000.00,24000.00
Luis Valcarce,25,73,Normal,975000.00,4000.00
S. Heltne Nilsen,26,69,Normal,875000.00,5000.00
Pleguezuelo,21,77,Lean,1200000.00,21000.00
R. Sukuta-Pasu,28,68,Stocky,925000.00,4000.00
Charles,33,68,Lean,375000.00,7000.00
N. Dussenne,26,71,Lean,925000.00,5000.00
A. Tighadouini,25,69,Stocky,1100000.00,4000.00
O. Salinas,30,68,Normal,850000.00,2000.00
S. Ntshangase,25,72,Lean,1200000.00,1000.00
M. Villanueva,25,73,Lean,1000000.00,4000.00
L. López,34,68,Normal,270000.00,5000.00
R. Majewski,31,68,Lean,775000.00,3000.00
A. Pomini,37,68,Normal,60000.00,1000.00
Lillo,29,68,Normal,675000.00,4000.00
H. Bernardello,31,68,Normal,600000.00,7000.00
D. Vallejos,28,68,Stocky,925000.00,5000.00
Borja Domínguez,26,71,Lean,1100000.00,4000.00
K. Németh,29,68,Normal,875000.00,4000.00
T. Adeyemi,26,69,Normal,1000000.00,5000.00
L. Sánchez,31,68,Normal,600000.00,5000.00
B. Turner,29,68,Stocky,700000.00,5000.00
I. Lakićević,24,69,Normal,875000.00,5000.00
J. Raitala,29,68,Normal,700000.00,3000.00
R. Würtz,34,68,Normal,425000.00,6000.00
D. Hediger,31,68,Stocky,775000.00,6000.00
M. Tirpan,24,72,Normal,975000.00,5000.00
V. Basha,27,69,Lean,850000.00,3000.00
M. Terki,26,71,Normal,925000.00,6000.00
D. Calderón Caicedo,28,68,Normal,925000.00,11000.00
Yu Hai,31,68,Normal,575000.00,6000.00
S. Camara,35,68,Normal,400000.00,8000.00
W. Yarbrough,29,68,Lean,600000.00,9000.00
L. Laverone,29,68,Lean,675000.00,2000.00
Y. Al Mosailem,34,68,Normal,375000.00,11000.00
Z. Bergdich,29,68,Normal,675000.00,3000.00
M. Abdul Shafy,33,68,Lean,350000.00,13000.00
K. Hyland,29,68,Stocky,700000.00,10000.00
V. Amiri,30,68,Normal,850000.00,13000.00
D. Manos,23,73,Normal,1200000.00,1000.00
A. Leitner,24,72,Normal,825000.00,4000.00
Baraka,31,68,Normal,600000.00,6000.00
David Concha,21,78,Lean,1500000.00,8000.00
E. Amor,23,76,Normal,1100000.00,5000.00
Manolo Reina,33,68,Normal,450000.00,3000.00
J. Angulo,20,80,Normal,1400000.00,6000.00
V. Sasso,27,70,Lean,875000.00,3000.00
S. Nakatani,22,72,Lean,975000.00,3000.00
M. Niemeyer,22,76,Normal,1300000.00,6000.00
Léo Silva,32,68,Normal,675000.00,5000.00
R. Boateng,25,70,Lean,1100000.00,5000.00
Lucas Venuto,23,73,Lean,1200000.00,6000.00
J. Lewis,20,81,Lean,1500000.00,7000.00
F. Schönheim,31,68,Normal,600000.00,11000.00
Nuno Campos,25,73,Normal,975000.00,4000.00
S. Slavchev,24,73,Lean,0.00,0.00
P. Corral,26,71,Lean,1100000.00,2000.00
Kim Won Il,31,68,Normal,600000.00,3000.00
A. Luna,26,69,Normal,1100000.00,4000.00
S. Marveaux,32,68,Normal,700000.00,4000.00
A. Araujo,21,75,Lean,1300000.00,2000.00
Kaio Figueiras,26,68,Normal,750000.00,6000.00
N. Bahoui,27,68,Normal,950000.00,6000.00
Rafinha,36,68,Normal,100000.00,1000.00
L. Greco,31,68,Lean,775000.00,2000.00
T. Hateley,28,68,Normal,725000.00,3000.00
A. Youga,25,71,Normal,950000.00,3000.00
J. Mombris,30,68,Normal,650000.00,3000.00
A. Pérez,24,70,Normal,925000.00,4000.00
R. Mühren,29,68,Normal,875000.00,7000.00
Lee Yong,31,68,Normal,575000.00,4000.00
H. Urrego,25,72,Normal,975000.00,2000.00
M. McGovern,33,68,Normal,450000.00,8000.00
J. Ledesma,25,73,Normal,850000.00,5000.00
D. Nagy,23,72,Lean,1200000.00,4000.00
J. Torres,21,79,Lean,1500000.00,6000.00
T. Chancalay,19,83,Lean,1900000.00,3000.00
Pacheco,34,68,Normal,425000.00,3000.00
Z. Diallo,31,68,Normal,600000.00,3000.00
A. Lindegaard,34,68,Normal,375000.00,14000.00
J. Aguirre,26,68,Normal,950000.00,7000.00
V. Mogos,25,69,Normal,875000.00,2000.00
N. Gavory,23,73,Lean,1000000.00,6000.00
G. Barnes,29,68,Normal,900000.00,4000.00
D. Jovanovic,19,81,Normal,1700000.00,4000.00
L. Kehinde,24,74,Normal,1200000.00,8000.00
J. Cifuente,25,70,Normal,0.00,0.00
A. Castro,24,70,Lean,1100000.00,1000.00
T. Schwede,24,74,Lean,1200000.00,5000.00
J. van der Linden,27,69,Normal,850000.00,4000.00
A. Kochenkov,31,68,Normal,550000.00,1000.00
A. Baptiste,32,68,Normal,525000.00,4000.00
L. Chiaretti,30,68,Normal,850000.00,2000.00
A. Acevedo,35,68,Normal,210000.00,2000.00
W. Andrade,33,68,Stocky,375000.00,6000.00
S. Iacoponi,31,68,Normal,575000.00,14000.00
M. de Luna,30,68,Normal,675000.00,13000.00
M. Kuhn,26,69,Normal,850000.00,4000.00
J. Buxton,33,68,Stocky,375000.00,5000.00
J. Mahecha,30,68,Lean,825000.00,1000.00
L. Ramos,28,68,Stocky,925000.00,4000.00
Freddy Cardouso,30,68,Normal,850000.00,7000.00
M. Herrera,29,68,Normal,700000.00,11000.00
B. Zolinski,26,69,Normal,1100000.00,6000.00
A. Delamea,27,69,Normal,850000.00,3000.00
Mama Baldé,22,76,Normal,1300000.00,5000.00
S. Schäfer,24,71,Lean,950000.00,5000.00
J. Grounds,30,68,Normal,650000.00,10000.00
M. Chirinos,23,75,Stocky,1300000.00,3000.00
L. Gallegos,26,68,Normal,950000.00,6000.00
Shi Ke,25,74,Lean,1000000.00,6000.00
M. Mehlem,20,79,Lean,1500000.00,6000.00
R. Brosco,27,68,Normal,750000.00,2000.00
S. Parker,25,72,Normal,1200000.00,5000.00
G. Evans,23,75,Lean,1100000.00,13000.00
N. Maturana,24,71,Lean,1100000.00,4000.00
D. Etienne Jr.,21,78,Normal,1500000.00,3000.00
E. Pogatetz,35,68,Lean,210000.00,3000.00
A. Geipl,26,70,Lean,900000.00,5000.00
P. Magalhães,28,68,Lean,700000.00,2000.00
V. Mantovani,22,79,Stocky,1300000.00,2000.00
O. Noorafkan,21,76,Lean,1100000.00,4000.00
R. Bocalon,29,68,Normal,900000.00,3000.00
J. Müller,24,73,Lean,1000000.00,6000.00
Vinícius,23,75,Lean,1300000.00,19000.00
M. Nelom,27,68,Normal,750000.00,3000.00
R. Kristiansen,30,68,Lean,650000.00,2000.00
M. van der Hart,24,73,Normal,875000.00,3000.00
C. Lepoint,33,68,Normal,375000.00,6000.00
A. Weis,28,69,Normal,725000.00,4000.00
H. Sakhi,22,75,Lean,1300000.00,3000.00
Querol,29,68,Lean,875000.00,4000.00
Adão Morrinhos,26,68,Normal,975000.00,12000.00
M. Schubert,20,81,Normal,1400000.00,4000.00
M. Ureña,28,68,Normal,925000.00,4000.00
M. Branderhorst,24,74,Normal,900000.00,3000.00
I. Díaz,28,68,Normal,925000.00,6000.00
S. Marinović,26,72,Stocky,800000.00,3000.00
E. Knudtzon,29,68,Normal,900000.00,3000.00
Alex Muñoz,23,74,Lean,1000000.00,4000.00
D. Kinsombi,22,74,Normal,1200000.00,5000.00
A. Armstrong,21,80,Normal,1600000.00,12000.00
Heitor Mutto,26,68,Normal,950000.00,7000.00
Y. Otsu,28,68,Lean,900000.00,3000.00
C. Osmanpaşa,30,68,Normal,675000.00,7000.00
S. Amallah,21,76,Lean,1300000.00,4000.00
S. Andersen,36,68,Normal,120000.00,4000.00
S. Kurata,29,68,Normal,875000.00,6000.00
M. Beister,27,68,Stocky,950000.00,4000.00
D. Bain,24,72,Normal,975000.00,3000.00
J. Payne,23,74,Lean,1200000.00,15000.00
Sergio Gómez,17,87,Lean,1800000.00,8000.00
F. Berenguer,29,68,Lean,850000.00,6000.00
B. Kee,27,68,Stocky,950000.00,3000.00
J. Dunne,20,79,Lean,1400000.00,12000.00
H. Sogahata,38,68,Normal,60000.00,3000.00
R. Camacho,27,68,Normal,750000.00,3000.00
A. Polo,23,74,Normal,1200000.00,4000.00
S. Camille,32,68,Normal,500000.00,4000.00
C. Muñoz,41,68,Normal,60000.00,1000.00
D. Louiserre,23,73,Lean,1000000.00,3000.00
J. Delle,28,69,Normal,725000.00,4000.00
A. Piech,33,68,Normal,575000.00,4000.00
P. Hartley,30,68,Stocky,675000.00,3000.00
D. Pineda,22,74,Lean,1200000.00,3000.00
G. Díaz,30,68,Normal,650000.00,6000.00
Han Kwang Song,19,83,Normal,1900000.00,7000.00
N. Backman,29,68,Normal,700000.00,6000.00
P. Pentz,21,76,Normal,1000000.00,3000.00
Gorosabel,21,77,Lean,1200000.00,7000.00
A. Kashi,29,68,Normal,850000.00,4000.00
M. Żyro,25,69,Normal,1100000.00,22000.00
B. Pawłowski,25,69,Lean,1100000.00,3000.00
D. Mohamed,29,68,Normal,700000.00,5000.00
S. Salazar,22,78,Stocky,1300000.00,2000.00
J. Kayembe,23,73,Lean,1200000.00,9000.00
Arthur Silbeira,34,68,Normal,475000.00,8000.00
M. Kegel,28,68,Stocky,900000.00,2000.00
J. Smith,23,72,Lean,825000.00,11000.00
K. Keleş,30,68,Normal,650000.00,7000.00
F. Kalig,25,70,Normal,925000.00,3000.00
Bellvís,33,68,Normal,350000.00,4000.00
H. Lybohy,34,68,Normal,270000.00,7000.00
S. MacLean,35,68,Lean,400000.00,3000.00
Fábio Cardoso,24,75,Normal,1100000.00,2000.00
T. Nedelev,25,73,Normal,0.00,0.00
Mesquita,27,68,Normal,750000.00,5000.00
Nouhou,21,77,Stocky,1200000.00,2000.00
M. Uslu,30,68,Normal,650000.00,6000.00
L. Noriega,33,68,Normal,525000.00,4000.00
S. Xulu,26,70,Normal,0.00,0.00
D. Mitov Nilsson,27,70,Normal,725000.00,2000.00
Héctor,22,76,Normal,1300000.00,16000.00
Wu Xinghan,25,70,Lean,1100000.00,7000.00
D. Badji,25,71,Normal,1100000.00,4000.00
T. Tzimopoulos,32,68,Stocky,0.00,0.00
B. Pittón,25,73,Normal,975000.00,5000.00
G. Ghazaryan,30,68,Normal,850000.00,5000.00
Eduardo Neto,29,68,Normal,700000.00,4000.00
Liu Binbin,25,70,Lean,1100000.00,7000.00
P. Eze,25,71,Normal,1100000.00,8000.00
Enzio Julião,34,68,Normal,475000.00,6000.00
R. Peña,21,75,Normal,1300000.00,3000.00
L. Wakalible,27,68,Lean,950000.00,4000.00
Marco Matias,29,68,Normal,875000.00,12000.00
C. Embalo,23,73,Normal,1200000.00,2000.00
F. Sotoca,27,68,Normal,950000.00,3000.00
K. Hoggas,26,69,Lean,1100000.00,6000.00
H. Abe,28,68,Normal,900000.00,4000.00
H. Robson-Kanu,29,68,Normal,900000.00,15000.00
José Machín,21,78,Normal,1400000.00,2000.00
M. Spielmann,22,79,Normal,1500000.00,6000.00
M. Emnes,30,68,Lean,875000.00,4000.00
G. Bushchan,24,73,Normal,875000.00,1000.00
O. Hernández,23,75,Normal,1200000.00,2000.00
B. Pelé,26,69,Normal,1100000.00,4000.00
Delmás,23,77,Lean,1200000.00,4000.00
H. Rodríguez,28,70,Normal,850000.00,11000.00
M. Kightly,32,68,Normal,700000.00,5000.00
T. Lockyer,23,75,Normal,1100000.00,4000.00
P. van Amersfoort,22,74,Lean,1200000.00,4000.00
L. Balanta,27,68,Normal,750000.00,2000.00
A. Mulenga,28,68,Normal,925000.00,1000.00
A. Jeremejeff,24,70,Lean,1100000.00,2000.00
J. Huentelaf,29,68,Normal,875000.00,3000.00
M. Frýdek,26,71,Normal,1100000.00,1000.00
Q. Beunardeau,24,72,Normal,825000.00,3000.00
G. Koomson,23,72,Normal,1200000.00,2000.00
J. Moulin,32,68,Normal,525000.00,9000.00
J. Akpala,31,68,Normal,800000.00,11000.00
J. Mattock,28,68,Normal,700000.00,13000.00
J. Ahlmann,27,69,Normal,825000.00,6000.00
D. Horgan,25,69,Normal,1100000.00,3000.00
David Carmona,21,76,Normal,1100000.00,3000.00
Kim Seung Gyu,27,70,Normal,725000.00,3000.00
E. Isnaldo,24,73,Normal,1200000.00,5000.00
R. Neudecker,21,78,Lean,1500000.00,6000.00
A. Bassi,20,76,Normal,1300000.00,3000.00
M. Barać,23,71,Normal,950000.00,6000.00
A. Contreras,25,73,Normal,1000000.00,5000.00
M. Fall,26,69,Lean,1100000.00,6000.00
Gonzalo Villar,20,80,Lean,1600000.00,2000.00
J. Rodwell,27,68,Normal,925000.00,16000.00
C. Bejarano,33,68,Normal,450000.00,1000.00
M. Kanno,23,74,Lean,1200000.00,12000.00
E. Taffertshofer,23,73,Normal,1000000.00,3000.00
J. Brunetta,21,80,Lean,1600000.00,5000.00
G. Torres,22,79,Normal,1500000.00,2000.00
C. Martin,29,68,Stocky,900000.00,19000.00
N. Ben Khalifa,26,71,Normal,1100000.00,7000.00
J. Contreras,23,76,Normal,975000.00,2000.00
M. Kilgallon,34,68,Normal,270000.00,3000.00
H. Osorio,30,68,Normal,875000.00,1000.00
F. Müller,25,71,Normal,1100000.00,3000.00
K. Pierie,17,80,Lean,1200000.00,2000.00
F. Friday,23,74,Normal,1200000.00,6000.00
J. David,18,85,Normal,1900000.00,5000.00
Kim In Seong,28,68,Normal,900000.00,4000.00
V. Dávila,20,75,Lean,1300000.00,5000.00
Y. Ideguchi,21,78,Normal,1300000.00,11000.00
Mario Ortíz,29,68,Normal,850000.00,4000.00
Roberson,29,68,Normal,900000.00,12000.00
D. McGeouch,25,71,Lean,1100000.00,6000.00
A. Niz,30,68,Normal,675000.00,6000.00
Kike Barja,21,75,Lean,1300000.00,3000.00
Dalmau,24,73,Lean,1200000.00,4000.00
G. Bouzoukis,20,78,Lean,1500000.00,1000.00
A. Correa,24,74,Normal,1000000.00,1000.00
V. Cabrera,25,71,Normal,950000.00,3000.00
Cheng Yuelei,30,68,Lean,575000.00,5000.00
A. Taggart,25,71,Normal,1100000.00,3000.00
S. Väisänen,24,71,Lean,950000.00,5000.00
Raúl Guti,21,76,Normal,1300000.00,3000.00
M. Wölfli,35,68,Normal,210000.00,4000.00
D. Wilson,26,71,Stocky,925000.00,3000.00
A. Santurro,26,72,Normal,800000.00,9000.00
I. Cissé,24,73,Lean,1000000.00,16000.00
A. Novakovich,21,76,Normal,1300000.00,11000.00
N. Pedersen,30,68,Lean,875000.00,4000.00
P. Hanlon,28,70,Normal,850000.00,3000.00
O. Lee,26,69,Normal,1000000.00,4000.00
K. Haugen,24,74,Normal,1000000.00,3000.00
Matos,23,75,Normal,1100000.00,4000.00
M. Davidson,30,68,Normal,825000.00,3000.00
A. Boljević,22,74,Normal,1200000.00,5000.00
S. Moore,21,78,Normal,1300000.00,6000.00
T. Aoki,28,68,Normal,725000.00,5000.00
J. Elliott,22,73,Lean,1000000.00,3000.00
H. Mosquera,31,68,Stocky,600000.00,1000.00
Campabadal,25,73,Normal,975000.00,4000.00
C. Alzáte,30,68,Normal,850000.00,1000.00
F. Godoy,28,68,Normal,725000.00,7000.00
E. Kwateng,21,76,Lean,1100000.00,6000.00
Lobato,29,68,Lean,875000.00,4000.00
J. Verlaat,22,74,Normal,1000000.00,3000.00
A. Skúlason,31,68,Lean,575000.00,6000.00
M. Martínez,34,68,Normal,270000.00,6000.00
A. Blomqvist,26,71,Lean,1100000.00,3000.00
D. Holmes,23,74,Lean,1200000.00,14000.00
D. Crowley,20,75,Normal,1300000.00,3000.00
B. Bese,24,72,Normal,975000.00,3000.00
M. Aarons,18,84,Normal,1600000.00,4000.00
E. Segura,21,79,Normal,1400000.00,1000.00
Olmo,33,68,Stocky,375000.00,4000.00
M. Zullo,29,68,Normal,675000.00,4000.00
O. Osawe,24,73,Normal,1200000.00,10000.00
K. Gorré,23,73,Normal,1200000.00,5000.00
B. Yardımcı,25,70,Stocky,900000.00,6000.00
L. Gör,27,71,Stocky,900000.00,6000.00
Jessé Ferdeira,26,68,Normal,750000.00,6000.00
D. Johnsen,20,79,Lean,1500000.00,6000.00
A. Gravillon,20,82,Normal,1800000.00,2000.00
A. Brighenti,30,68,Normal,875000.00,2000.00
A. Grimaldi,27,69,Stocky,1000000.00,4000.00
D. Díaz,32,68,Lean,525000.00,2000.00
S. D'Elia,29,68,Normal,675000.00,2000.00
A. Puljić,30,68,Normal,675000.00,9000.00
B. Rother,21,74,Normal,1100000.00,4000.00
M. Sáček,21,79,Lean,1500000.00,1000.00
F. Boli,24,73,Stocky,1200000.00,2000.00
F. Falcone,28,68,Normal,925000.00,4000.00
Chi Zhongguo,28,68,Normal,900000.00,8000.00
R. Gumny,20,84,Lean,1800000.00,3000.00
B. Zech,27,68,Lean,750000.00,5000.00
J. Laporte,24,72,Normal,975000.00,3000.00
J. Horn,21,76,Normal,1100000.00,5000.00
J. van den Bergh,31,68,Normal,575000.00,5000.00
A. Vršajevič,32,68,Lean,500000.00,7000.00
J. Magennis,27,68,Stocky,950000.00,5000.00
C. Rivieyran,27,68,Normal,750000.00,3000.00
D. Koita,18,80,Lean,1300000.00,4000.00
P. Polomat,24,72,Normal,975000.00,9000.00
Y. Ono,25,70,Normal,1100000.00,3000.00
Hwang Hyun Soo,22,73,Normal,1000000.00,3000.00
Joaquín,22,72,Normal,975000.00,6000.00
Vitor Costa,24,74,Lean,1000000.00,4000.00
H. Kryeziu,25,73,Lean,1000000.00,6000.00
J. Bajandouh,25,72,Stocky,975000.00,12000.00
T. Wellenreuther,22,75,Normal,925000.00,3000.00
M. Barrow,19,85,Lean,1900000.00,6000.00
L. Hallenius,29,68,Normal,900000.00,2000.00
D. Mancini,21,79,Normal,1500000.00,11000.00
L. Álvarez,33,68,Normal,450000.00,1000.00
D. Burbano,30,68,Lean,850000.00,2000.00
M. Fissore,27,69,Normal,850000.00,6000.00
J. Promes,34,68,Normal,270000.00,3000.00
R. Cannon,20,80,Normal,1400000.00,2000.00
H. Akbunar,24,71,Lean,1100000.00,8000.00
S. Tonali,18,89,Normal,1800000.00,1000.00
M. Reginiussen,30,68,Normal,825000.00,2000.00
S. Elbers,26,69,Normal,1100000.00,5000.00
J. Michel,26,70,Lean,1100000.00,6000.00
U. Ikpeazu,23,74,Stocky,1200000.00,4000.00
J. Yueill,21,76,Normal,1300000.00,3000.00
André Vidigal,19,78,Lean,1400000.00,2000.00
E. Herrera,29,68,Normal,900000.00,22000.00
K. Stewart,24,71,Lean,950000.00,9000.00
I. González,28,69,Lean,725000.00,2000.00
J. Dompé,22,73,Lean,1200000.00,7000.00
Zequinha,31,68,Lean,775000.00,3000.00
U. Sadiq,21,80,Lean,1600000.00,17000.00
José Juan,39,68,Normal,60000.00,1000.00
D. Watmore,24,73,Lean,1200000.00,5000.00
D. Poha,21,75,Normal,1300000.00,9000.00
T. Werner,32,68,Lean,700000.00,13000.00
M. Barbieri,27,68,Stocky,950000.00,7000.00
O. Jansson,27,70,Normal,725000.00,2000.00
J. Valencia,32,68,Normal,500000.00,2000.00
Y. Croizet,26,69,Stocky,1000000.00,4000.00
M. Cacutalua,23,73,Lean,1000000.00,3000.00
A. Green,19,82,Lean,1900000.00,4000.00
J. Wright,32,68,Normal,525000.00,5000.00
S. Whittaker,34,68,Normal,250000.00,3000.00
Leonardo,30,68,Stocky,675000.00,3000.00
B. O'Neill,24,73,Normal,1000000.00,3000.00
J. van Aken,24,74,Lean,1000000.00,9000.00
Everaldo,26,69,Normal,1100000.00,5000.00
T. Roberts,19,83,Normal,1900000.00,9000.00
Z. Vanheusden,18,82,Lean,1700000.00,8000.00
M. Delgado,23,73,Normal,1200000.00,3000.00
S. Cuthbert,31,68,Stocky,600000.00,5000.00
J. Zimmermann,33,68,Normal,450000.00,9000.00
Nixon,25,71,Normal,1100000.00,2000.00
P. Gibaud,30,68,Normal,650000.00,3000.00
A. Pilkington,30,68,Normal,875000.00,19000.00
R. Osorio,23,75,Lean,1100000.00,3000.00
K. Mahlasela,27,68,Lean,950000.00,1000.00
Deng Hanwen,23,76,Normal,1100000.00,6000.00
M. Lysov,20,80,Lean,1400000.00,1000.00
L. Palun,29,68,Normal,675000.00,6000.00
D. Gerken,33,68,Normal,450000.00,3000.00
E. Marcondes,23,73,Lean,1200000.00,14000.00
S. Darbion,34,68,Lean,450000.00,4000.00
Ataúlfo Anjos,26,68,Normal,750000.00,6000.00
S. Kaba,23,73,Normal,1200000.00,3000.00
K. Yamamura,28,68,Normal,900000.00,4000.00
C. Cuevas,23,73,Lean,1000000.00,6000.00
L. Pirard,23,73,Normal,875000.00,3000.00
M. Bareiro,23,79,Normal,1300000.00,6000.00
J. Torres,30,68,Normal,675000.00,17000.00
A. Hloušek,29,68,Lean,675000.00,4000.00
P. Mlapa,27,68,Normal,950000.00,9000.00
C. Esquivel,36,68,Lean,300000.00,7000.00
J. Leist,30,68,Normal,675000.00,3000.00
F. Koch,29,68,Lean,675000.00,8000.00
Jung Seok Hwa,27,69,Normal,1000000.00,3000.00
Alain Oyarzun,24,71,Normal,1100000.00,4000.00
A. Grgić,21,77,Normal,1400000.00,9000.00
B. Woodburn,18,85,Normal,1800000.00,15000.00
Juan Carlos,30,68,Normal,575000.00,4000.00
D. Petrucci,26,71,Lean,925000.00,6000.00
G. Hall,26,70,Lean,900000.00,4000.00
Guille Donoso,22,76,Normal,1300000.00,4000.00
S. Mraz,21,77,Normal,1400000.00,5000.00
S. Schipplock,29,68,Normal,900000.00,7000.00
Y. van Nieff,25,72,Normal,975000.00,3000.00
Jesús Valentín,26,71,Stocky,925000.00,4000.00
M. Senesi,21,80,Normal,1400000.00,5000.00
A. Hayashi,31,68,Normal,550000.00,4000.00
J. Drost,25,71,Normal,1100000.00,4000.00
O. Ovacıklı,29,68,Normal,675000.00,6000.00
A. Al Bulayhi,28,68,Normal,725000.00,14000.00
B. Amos,28,68,Normal,625000.00,4000.00
N. Moumi Ngamaleu,23,74,Normal,1200000.00,8000.00
J. Aguirre,31,68,Stocky,775000.00,2000.00
S. Hlanti,28,68,Normal,0.00,0.00
D. Button,29,68,Lean,600000.00,14000.00
K. Özer,30,68,Lean,850000.00,9000.00
Álvaro,27,69,Normal,1000000.00,4000.00
K. Opare,27,69,Normal,850000.00,3000.00
J. Andersen,25,71,Normal,1100000.00,3000.00
M. Diagne,24,75,Lean,1100000.00,3000.00
S. Skrabb,23,76,Normal,1300000.00,3000.00
V. Muriqi,24,74,Lean,1200000.00,6000.00
H. Yılmaz,34,68,Normal,375000.00,5000.00
Y. Merdji,24,73,Normal,1200000.00,3000.00
J. Matoušek,20,83,Lean,2000000.00,1000.00
Licá,29,68,Lean,875000.00,4000.00
P. Valdivia,30,68,Lean,825000.00,8000.00
J. Shaughnessy,25,73,Lean,1000000.00,3000.00
J. Green,23,75,Lean,1300000.00,4000.00
J. Parraguez,28,68,Stocky,925000.00,3000.00
Marc Pedraza,31,68,Normal,600000.00,4000.00
Q. Antipas,34,68,Normal,475000.00,5000.00
S. Bain,26,72,Normal,800000.00,14000.00
R. Towell,26,69,Normal,1000000.00,17000.00
C. Donis,23,75,Normal,1200000.00,1000.00
J. Muñoz,30,68,Lean,850000.00,5000.00
